ticket_id,title,description,category,status,resolution,created_date,resolved_date
T001,Cannot login to my account,I've been trying to login for the past hour but keep getting 'Invalid credentials' error. I'm sure my password is correct.,Login Issues,Closed,Password was expired. Reset link sent to user's email. User successfully logged in after resetting password.,2024-01-15,2024-01-15
T002,Payment failed but money deducted,My payment failed during checkout but the amount was deducted from my bank account. Order not placed.,Payment Problems,Closed,Verified with payment gateway. Transaction was pending and auto-reversed within 3-5 business days. Confirmed reversal completed.,2024-01-18,2024-01-20
T003,How to export my data?,I need to export all my data from the platform. Can't find the option in settings.,Feature Requests,Closed,Guided user to Account Settings > Privacy > Export Data. Feature is available in the dropdown menu under Data Management section.,2024-01-20,2024-01-20
T004,Dashboard not loading,The dashboard page shows blank white screen after login. Other pages work fine.,Bug Reports,Closed,Issue caused by browser cache. Cleared cache and cookies. Advised user to use Ctrl+F5 for hard refresh. Dashboard loaded successfully.,2024-01-22,2024-01-22
T005,Two-factor authentication setup,Need help setting up 2FA on my account for better security.,Login Issues,Closed,Walked user through 2FA setup: Settings > Security > Enable 2FA. Used Google Authenticator app. Backup codes provided and saved.,2024-01-25,2024-01-25
T006,Invoice not received,Made a payment 3 days ago but haven't received the invoice via email.,Payment Problems,Closed,Invoice was in spam folder. Resent invoice to registered email. Whitelisted sender domain to prevent future issues.,2024-01-28,2024-01-28
T007,Add dark mode feature,Would love to have a dark mode option. Current bright theme strains eyes during night work.,Feature Requests,Closed,Feature request logged and forwarded to product team. Expected in Q2 2024 release. User added to beta testing list.,2024-02-01,2024-02-01
T008,Mobile app crashes on startup,Android app crashes immediately after opening. Reinstalled twice but issue persists.,Bug Reports,Closed,Identified incompatibility with Android 14. Updated app to latest version 2.3.1 from Play Store. Issue resolved after update.,2024-02-03,2024-02-03
T009,Forgot username recovery,I forgot my username and can't login. Only remember my email address.,Login Issues,Closed,Username sent to registered email address. Advised user to save credentials in password manager for future reference.,2024-02-05,2024-02-05
T010,Refund not processed,Requested refund 10 days ago but amount not credited to my account yet.,Payment Problems,Closed,Refund was processed on Feb 1st. Takes 7-10 business days for bank credit. Provided transaction reference number for bank inquiry.,2024-02-08,2024-02-10
T011,Bulk upload feature,Need ability to upload multiple files at once instead of one by one.,Feature Requests,Closed,Feature already exists. Guided to Upload section > Select Multiple Files option (Ctrl+Click or Shift+Click). Supports up to 50 files.,2024-02-12,2024-02-12
T012,Notification emails not arriving,Not receiving any notification emails for account activities.,Bug Reports,Closed,Email notifications were disabled in preferences. Re-enabled in Settings > Notifications > Email Alerts. Test email sent successfully.,2024-02-14,2024-02-14
T013,Account locked after failed attempts,Account got locked after entering wrong password 3 times.,Login Issues,Closed,Security feature activated after 3 failed attempts. Unlocked account and sent temporary password. Advised to update password immediately.,2024-02-16,2024-02-16
T014,Duplicate payment charged,Was charged twice for the same transaction. Need one refund.,Payment Problems,Closed,Confirmed duplicate charge in system. Initiated refund for duplicate transaction. Refund processed within 5-7 business days.,2024-02-18,2024-02-19
T015,Search results inaccurate,Search function returns irrelevant results. Not finding what I'm looking for.,Bug Reports,Closed,Search algorithm updated last week causing relevancy issues. Engineering team rolled back changes. Search now working with improved accuracy.,2024-02-20,2024-02-21
